OID,FID_1,Field1,category,id,latitude,longitude,general_ca,FID_2,label,altname,name,code,centroid_x,centroid_y
107,262,262,italian,gtG_KTfancLYB7r01IoBuw,51.4860654,-0.1666454,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
108,264,264,italian,-HAMHX7-G0iIGe4GAdaFug,51.4935632,-0.1672891,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
109,267,267,italian,CRT3V3Kw3X-bs9BzsyrbBw,51.4974127,-0.1643569,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
110,268,268,italian,r5Ni17dep-Kn4RHDyckLTg,51.509773,-0.193684,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
111,273,273,italian,DY-Wy4wWtDwZNK2--nCwCg,51.5088223,-0.1970564,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
112,278,278,italian,ObunjX9yaOTD4doIJDud0g,51.52103545,-0.209423554,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
113,280,280,italian,10PixfqU8i04OGVjO0SMHw,51.48605,-0.17216,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
114,289,289,italian,YgF4zJnHiG9vXnGQi4JxFQ,51.5181,-0.210278,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
115,291,291,italian,W_goWhqiUHEfVAyxPdmnwQ,51.48911285,-0.165491,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
116,300,300,italian,WwW8xn6HHv0fDZMBQ8jHQA,51.49915695,-0.184005007,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
117,306,306,italian,xy6xNNs7EttPDXIeOwMnKQ,51.494959,-0.189977,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
118,312,312,french,b8u_D0Qlp0-nqSC6O2fMNw,51.485833,-0.161966,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
119,313,313,french,btmD6I6XuFIngdLZtWAjTg,51.4937304,-0.1823091,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
120,314,314,french,xswz3LN249CBWn-Xc7u2lg,51.4992288,-0.1969429,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
121,315,315,french,BZ96WsFu82jq65zs4Y2MsQ,51.4924431,-0.1778994,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
122,316,316,french,Eb7RLzLQfFt4Uyif0dwHxA,51.4859441,-0.1844376,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
123,317,317,french,jn8UYfbFnOJbPnQd5JmfTQ,51.501822,-0.204205,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
124,318,318,french,By1sfLsT1HnYjQmtrGa0iA,51.501545,-0.1842622,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
125,319,319,french,8sdlfM2kpwWgcq5CSWvlCQ,51.49274086,-0.157326219,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
126,321,321,french,8pafyRKpDRt0pd5KXh-Hzg,51.50197688,-0.188927866,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
127,322,322,french,KRuQt2CSvyqp2kcEkmm-8A,51.49851609,-0.18387063,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
128,323,323,french,eKV3GGH9gU5h028CU839kQ,51.49331459,-0.168833455,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
129,324,324,french,Y9x_BvxeJ35cR056LBFk4g,51.50228778,-0.189047654,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
130,325,325,french,U4WjNkwhJySZ6nU1kTneaw,51.4903487,-0.190576315,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
131,326,326,french,lRbFJrq0akioykOg4jORxA,51.48339844,-0.177386001,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
132,327,327,french,UL75qDGkw5E4osQBUa51Hw,51.49328003,-0.1925273,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
133,328,328,french,u5CTn5xJdJmBUQ0e_4ET_w,51.4899216,-0.1731137,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
134,330,331,french,BzX3EqSuM0HMxj2B5x_bRw,51.5040305,-0.1919676,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
135,339,340,french,2etQpNmfh9pTdSpartNb5A,51.5087,-0.1991345,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
136,340,341,french,zCqGzGJDES5opews0KI3hw,51.4915237,-0.1717836,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
137,346,348,french,xdfuU84OuzYDOyVzauQlJA,51.4815445,-0.1815242,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
138,350,353,french,ZG_xWzOUB3wBupWxdyzHKA,51.4896098,-0.1637223,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
139,351,354,french,Iz4be5NlRlGH-cKHKt8luw,51.4983918,-0.1839082,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
140,358,361,french,0PevNLQx8HyuKHBzg8Fy6w,51.517861,-0.206798,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
